Region,State,EnergySource,YearValue,Capacity_MW
ER,WEST BENGAL,SMALL HYDRO,2008,98.4
ER,WEST BENGAL,SOLAR,2008,0.05
ER,WEST BENGAL,SMALL HYDRO,2009,98.4
ER,WEST BENGAL,SOLAR,2009,0.05
ER,WEST BENGAL,SMALL HYDRO,2010,98.4
ER,WEST BENGAL,WIND,2010,4.3
ER,WEST BENGAL,COGENERATION-BAGASSE,2010,16
ER,WEST BENGAL,SOLAR,2010,1.15
ER,WEST BENGAL,SMALL HYDRO,2011,98.4
ER,WEST BENGAL,WIND,2011,4.3
ER,WEST BENGAL,COGENERATION-BAGASSE,2011,16
ER,WEST BENGAL,SOLAR,2011,1.15
ER,WEST BENGAL,SMALL HYDRO,2012,98.4
ER,WEST BENGAL,WIND,2012,4.3
ER,WEST BENGAL,COGENERATION-BAGASSE,2012,16
ER,WEST BENGAL,SOLAR,2012,2.05
ER,WEST BENGAL,SMALL HYDRO,2013,98.4
ER,WEST BENGAL,COGENERATION-BAGASSE,2013,26
ER,WEST BENGAL,SOLAR,2013,2.05
ER,WEST BENGAL,SMALL HYDRO,2014,98.4
ER,WEST BENGAL,COGENERATION-BAGASSE,2014,26
ER,WEST BENGAL,SOLAR,2014,7.05
ER,WEST BENGAL,SMALL HYDRO,2017,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2017,300
ER,WEST BENGAL,SOLAR,2017,26.14
ER,WEST BENGAL,SMALL HYDRO,2018,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2018,300
ER,WEST BENGAL,SOLAR,2018,37.32
ER,WEST BENGAL,SMALL HYDRO,2019,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2019,300
ER,WEST BENGAL,SOLAR,2019,75.95
ER,WEST BENGAL,SMALL HYDRO,2020,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2020,319.92
ER,WEST BENGAL,SOLAR,2020,114.46
ER,WEST BENGAL,SMALL HYDRO,2015,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2015,292
ER,WEST BENGAL,SOLAR,2015,7.21
ER,WEST BENGAL,SMALL HYDRO,2016,98.5
ER,WEST BENGAL,COGENERATION-BAGASSE,2016,300
ER,WEST BENGAL,SOLAR,2016,7.772
ER,JHARKHAND,SMALL HYDRO,2008,4.05
ER,JHARKHAND,SMALL HYDRO,2009,4.05
ER,JHARKHAND,SMALL HYDRO,2010,4.05
ER,JHARKHAND,SMALL HYDRO,2011,4.05
ER,JHARKHAND,SMALL HYDRO,2012,4.05
ER,JHARKHAND,SOLAR,2012,4
ER,JHARKHAND,SMALL HYDRO,2013,4.05
ER,JHARKHAND,SOLAR,2013,16
ER,JHARKHAND,SMALL HYDRO,2014,4.05
ER,JHARKHAND,SOLAR,2014,16
ER,JHARKHAND,SMALL HYDRO,2017,4.05
ER,JHARKHAND,SOLAR,2017,23.27
ER,JHARKHAND,SMALL HYDRO,2018,4.05
ER,JHARKHAND,SOLAR,2018,25.67
ER,JHARKHAND,SMALL HYDRO,2019,4.05
ER,JHARKHAND,SOLAR,2019,34.95
ER,JHARKHAND,SMALL HYDRO,2020,4.05
ER,JHARKHAND,COGENERATION-BAGASSE,2020,4.3
ER,JHARKHAND,SOLAR,2020,38.4
ER,JHARKHAND,SMALL HYDRO,2015,4.05
ER,JHARKHAND,SOLAR,2015,16
ER,JHARKHAND,SMALL HYDRO,2016,4.05
ER,JHARKHAND,SOLAR,2016,16.186
ER,BIHAR,SMALL HYDRO,2008,50.4
ER,BIHAR,SMALL HYDRO,2009,54.6
ER,BIHAR,SMALL HYDRO,2010,54.6
ER,BIHAR,SMALL HYDRO,2011,59.8
ER,BIHAR,COGENERATION-BAGASSE,2011,9.5
ER,BIHAR,SMALL HYDRO,2012,64.3
ER,BIHAR,COGENERATION-BAGASSE,2012,15.5
ER,BIHAR,SMALL HYDRO,2013,70.7
ER,BIHAR,COGENERATION-BAGASSE,2013,43.3
ER,BIHAR,SMALL HYDRO,2014,70.7
ER,BIHAR,COGENERATION-BAGASSE,2014,43.42
ER,BIHAR,SMALL HYDRO,2017,70.7
ER,BIHAR,COGENERATION-BAGASSE,2017,113
ER,BIHAR,SOLAR,2017,108.52
ER,BIHAR,SMALL HYDRO,2018,70.7
ER,BIHAR,COGENERATION-BAGASSE,2018,113
ER,BIHAR,SOLAR,2018,142.45
ER,BIHAR,SMALL HYDRO,2019,70.7
ER,BIHAR,COGENERATION-BAGASSE,2019,113
ER,BIHAR,SOLAR,2019,142.45
ER,BIHAR,SMALL HYDRO,2020,70.7
ER,BIHAR,COGENERATION-BAGASSE,2020,121.2
ER,BIHAR,SOLAR,2020,151.57
ER,BIHAR,SMALL HYDRO,2015,70.7
ER,BIHAR,COGENERATION-BAGASSE,2015,93
ER,BIHAR,SMALL HYDRO,2016,70.7
ER,BIHAR,COGENERATION-BAGASSE,2016,104
ER,BIHAR,SOLAR,2016,5.1
WR,MADHYA PRADESH,SMALL HYDRO,2008,71.16
WR,MADHYA PRADESH,WIND,2008,187.7
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2008,1
WR,MADHYA PRADESH,WASTE,2008,2.75
WR,MADHYA PRADESH,SOLAR,2008,0.1
WR,MADHYA PRADESH,SMALL HYDRO,2009,71.16
WR,MADHYA PRADESH,WIND,2009,212.8
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2009,1
WR,MADHYA PRADESH,WASTE,2009,2.75
WR,MADHYA PRADESH,SOLAR,2009,0.1
WR,MADHYA PRADESH,SMALL HYDRO,2010,71.16
WR,MADHYA PRADESH,WIND,2010,229.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2010,1
WR,MADHYA PRADESH,WASTE,2010,2.7
WR,MADHYA PRADESH,SOLAR,2010,0.1
WR,MADHYA PRADESH,SMALL HYDRO,2011,86.16
WR,MADHYA PRADESH,WIND,2011,275.9
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2011,1
WR,MADHYA PRADESH,WASTE,2011,2.7
WR,MADHYA PRADESH,SOLAR,2011,0.1
WR,MADHYA PRADESH,SMALL HYDRO,2012,86.16
WR,MADHYA PRADESH,WIND,2012,376.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2012,8.5
WR,MADHYA PRADESH,WASTE,2012,3.9
WR,MADHYA PRADESH,SOLAR,2012,2.1
WR,MADHYA PRADESH,SMALL HYDRO,2013,86.16
WR,MADHYA PRADESH,WIND,2013,386
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2013,16
WR,MADHYA PRADESH,WASTE,2013,3.9
WR,MADHYA PRADESH,SOLAR,2013,37.315
WR,MADHYA PRADESH,SMALL HYDRO,2014,86.16
WR,MADHYA PRADESH,WIND,2014,423.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2014,26
WR,MADHYA PRADESH,WASTE,2014,3.9
WR,MADHYA PRADESH,SOLAR,2014,347.17
WR,MADHYA PRADESH,SMALL HYDRO,2017,86.16
WR,MADHYA PRADESH,WIND,2017,2497.79
WR,MADHYA PRADESH,WASTE,2017,3.9
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2017,93
WR,MADHYA PRADESH,SOLAR,2017,857.04
WR,MADHYA PRADESH,SMALL HYDRO,2018,86.16
WR,MADHYA PRADESH,WIND,2018,2519.89
WR,MADHYA PRADESH,WASTE,2018,15.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2018,93
WR,MADHYA PRADESH,SOLAR,2018,1305.35
WR,MADHYA PRADESH,SMALL HYDRO,2019,95.91
WR,MADHYA PRADESH,WIND,2019,2519.89
WR,MADHYA PRADESH,WASTE,2019,15.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2019,93
WR,MADHYA PRADESH,SOLAR,2019,1840.16
WR,MADHYA PRADESH,SMALL HYDRO,2020,95.91
WR,MADHYA PRADESH,WIND,2020,2519.89
WR,MADHYA PRADESH,WASTE,2020,15.4
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2020,105.35
WR,MADHYA PRADESH,SOLAR,2020,2258.46
WR,MADHYA PRADESH,SMALL HYDRO,2015,86.16
WR,MADHYA PRADESH,WIND,2015,879.69
WR,MADHYA PRADESH,WASTE,2015,3.9
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2015,68
WR,MADHYA PRADESH,SOLAR,2015,558.58
WR,MADHYA PRADESH,SMALL HYDRO,2016,86.16
WR,MADHYA PRADESH,WIND,2016,2141.09
WR,MADHYA PRADESH,WASTE,2016,3.9
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2016,93
WR,MADHYA PRADESH,SOLAR,2016,776.37
WR,CHHATTISGARH,SMALL HYDRO,2008,18.05
WR,CHHATTISGARH,COGENERATION-BAGASSE,2008,146.3
WR,CHHATTISGARH,SMALL HYDRO,2009,18.05
WR,CHHATTISGARH,COGENERATION-BAGASSE,2009,156.1
WR,CHHATTISGARH,SMALL HYDRO,2010,19.05
WR,CHHATTISGARH,COGENERATION-BAGASSE,2010,199.9
WR,CHHATTISGARH,SMALL HYDRO,2011,19.05
WR,CHHATTISGARH,COGENERATION-BAGASSE,2011,231.9
WR,CHHATTISGARH,SMALL HYDRO,2012,20.25
WR,CHHATTISGARH,COGENERATION-BAGASSE,2012,249.9
WR,CHHATTISGARH,SOLAR,2012,4
WR,CHHATTISGARH,SMALL HYDRO,2013,52
WR,CHHATTISGARH,COGENERATION-BAGASSE,2013,249.9
WR,CHHATTISGARH,SOLAR,2013,4
WR,CHHATTISGARH,SMALL HYDRO,2014,52
WR,CHHATTISGARH,COGENERATION-BAGASSE,2014,264.9
WR,CHHATTISGARH,SOLAR,2014,7.1
WR,CHHATTISGARH,SMALL HYDRO,2017,76
WR,CHHATTISGARH,COGENERATION-BAGASSE,2017,228
WR,CHHATTISGARH,SOLAR,2017,128.86
WR,CHHATTISGARH,SMALL HYDRO,2018,76
WR,CHHATTISGARH,COGENERATION-BAGASSE,2018,228
WR,CHHATTISGARH,SOLAR,2018,231.35
WR,CHHATTISGARH,SMALL HYDRO,2019,76
WR,CHHATTISGARH,COGENERATION-BAGASSE,2019,228
WR,CHHATTISGARH,SOLAR,2019,231.35
WR,CHHATTISGARH,SMALL HYDRO,2020,76
WR,CHHATTISGARH,COGENERATION-BAGASSE,2020,244.5
WR,CHHATTISGARH,SOLAR,2020,231.35
WR,CHHATTISGARH,SMALL HYDRO,2015,52
WR,CHHATTISGARH,COGENERATION-BAGASSE,2015,218
WR,CHHATTISGARH,SOLAR,2015,7.6
WR,CHHATTISGARH,SMALL HYDRO,2016,52
WR,CHHATTISGARH,COGENERATION-BAGASSE,2016,228
WR,CHHATTISGARH,SOLAR,2016,93.58
NR,UTTAR PRADESH,SMALL HYDRO,2008,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2008,200.5
NR,UTTAR PRADESH,WASTE,2008,5
NR,UTTAR PRADESH,SOLAR,2008,0.38
NR,UTTAR PRADESH,SMALL HYDRO,2009,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2009,372.5
NR,UTTAR PRADESH,WASTE,2009,5
NR,UTTAR PRADESH,SOLAR,2009,0.38
NR,UTTAR PRADESH,SMALL HYDRO,2010,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2010,567
NR,UTTAR PRADESH,WASTE,2010,5
NR,UTTAR PRADESH,SOLAR,2010,0.38
NR,UTTAR PRADESH,SMALL HYDRO,2011,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2011,592.5
NR,UTTAR PRADESH,WASTE,2011,5
NR,UTTAR PRADESH,SOLAR,2011,0.38
NR,UTTAR PRADESH,SMALL HYDRO,2012,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2012,644.5
NR,UTTAR PRADESH,WASTE,2012,5
NR,UTTAR PRADESH,SOLAR,2012,12.38
NR,UTTAR PRADESH,SMALL HYDRO,2013,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2013,776.5
NR,UTTAR PRADESH,WASTE,2013,5
NR,UTTAR PRADESH,SOLAR,2013,17.375
NR,UTTAR PRADESH,SMALL HYDRO,2014,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2014,776.5
NR,UTTAR PRADESH,WASTE,2014,5
NR,UTTAR PRADESH,SOLAR,2014,21.08
NR,UTTAR PRADESH,SMALL HYDRO,2017,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2017,1933
NR,UTTAR PRADESH,SOLAR,2017,336.73
NR,UTTAR PRADESH,SMALL HYDRO,2018,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2018,1957.5
NR,UTTAR PRADESH,SOLAR,2018,694.41
NR,UTTAR PRADESH,SMALL HYDRO,2019,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2019,1957.5
NR,UTTAR PRADESH,SOLAR,2019,960.1
NR,UTTAR PRADESH,SMALL HYDRO,2020,25.1
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2020,2115.51
NR,UTTAR PRADESH,SOLAR,2020,1095.1
NR,UTTAR PRADESH,SMALL HYDRO,2015,25.1
NR,UTTAR PRADESH,WASTE,2015,5
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2015,1872.15
NR,UTTAR PRADESH,SOLAR,2015,71.26
NR,UTTAR PRADESH,SMALL HYDRO,2016,25.1
NR,UTTAR PRADESH,WASTE,2016,5
NR,UTTAR PRADESH,COGENERATION-BAGASSE,2016,1933
NR,UTTAR PRADESH,SOLAR,2016,143.495
WR,MAHARASHTRA,SMALL HYDRO,2008,211.33
WR,MAHARASHTRA,WIND,2008,1755.9
WR,MAHARASHTRA,COGENERATION-BAGASSE,2008,114
WR,MAHARASHTRA,WASTE,2008,1
WR,MAHARASHTRA,SMALL HYDRO,2009,211.33
WR,MAHARASHTRA,WIND,2009,1938.9
WR,MAHARASHTRA,COGENERATION-BAGASSE,2009,185.5
WR,MAHARASHTRA,WASTE,2009,1
WR,MAHARASHTRA,SMALL HYDRO,2010,245.33
WR,MAHARASHTRA,WIND,2010,2077.75
WR,MAHARASHTRA,COGENERATION-BAGASSE,2010,218.5
WR,MAHARASHTRA,WASTE,2010,5.7
WR,MAHARASHTRA,SMALL HYDRO,2011,275.13
WR,MAHARASHTRA,WIND,2011,2316.75
WR,MAHARASHTRA,COGENERATION-BAGASSE,2011,403
WR,MAHARASHTRA,WASTE,2011,5.72
WR,MAHARASHTRA,SOLAR,2011,4
WR,MAHARASHTRA,SMALL HYDRO,2012,281.33
WR,MAHARASHTRA,WIND,2012,2733.3
WR,MAHARASHTRA,COGENERATION-BAGASSE,2012,603.7
WR,MAHARASHTRA,WASTE,2012,5.72
WR,MAHARASHTRA,SOLAR,2012,20
WR,MAHARASHTRA,SMALL HYDRO,2013,299.925
WR,MAHARASHTRA,WIND,2013,3021.85
WR,MAHARASHTRA,COGENERATION-BAGASSE,2013,756.9
WR,MAHARASHTRA,WASTE,2013,9.72
WR,MAHARASHTRA,SOLAR,2013,100
WR,MAHARASHTRA,SMALL HYDRO,2014,327.43
WR,MAHARASHTRA,WIND,2014,4100.4
WR,MAHARASHTRA,COGENERATION-BAGASSE,2014,940.4
WR,MAHARASHTRA,WASTE,2014,12.72
WR,MAHARASHTRA,SOLAR,2014,249.25
WR,MAHARASHTRA,SMALL HYDRO,2017,346.175
WR,MAHARASHTRA,WIND,2017,4771.33
WR,MAHARASHTRA,WASTE,2017,12.72
WR,MAHARASHTRA,COGENERATION-BAGASSE,2017,2065
WR,MAHARASHTRA,SOLAR,2017,452.37
WR,MAHARASHTRA,SMALL HYDRO,2018,373.18
WR,MAHARASHTRA,WIND,2018,4783.93
WR,MAHARASHTRA,WASTE,2018,12.59
WR,MAHARASHTRA,COGENERATION-BAGASSE,2018,2170
WR,MAHARASHTRA,SOLAR,2018,1239.18
WR,MAHARASHTRA,SMALL HYDRO,2019,375.57
WR,MAHARASHTRA,WIND,2019,4794.13
WR,MAHARASHTRA,WASTE,2019,12.59
WR,MAHARASHTRA,COGENERATION-BAGASSE,2019,2499.7
WR,MAHARASHTRA,SOLAR,2019,1633.54
WR,MAHARASHTRA,SMALL HYDRO,2020,379.575
WR,MAHARASHTRA,WIND,2020,5000.33
WR,MAHARASHTRA,WASTE,2020,12.59
WR,MAHARASHTRA,COGENERATION-BAGASSE,2020,2516.1
WR,MAHARASHTRA,SOLAR,2020,1801.8
WR,MAHARASHTRA,SMALL HYDRO,2015,335.43
WR,MAHARASHTRA,WIND,2015,4445.93
WR,MAHARASHTRA,WASTE,2015,12.72
WR,MAHARASHTRA,COGENERATION-BAGASSE,2015,1833
WR,MAHARASHTRA,SOLAR,2015,360.75
WR,MAHARASHTRA,SMALL HYDRO,2016,339.875
WR,MAHARASHTRA,WIND,2016,4653.78
WR,MAHARASHTRA,WASTE,2016,12.72
WR,MAHARASHTRA,COGENERATION-BAGASSE,2016,1967
WR,MAHARASHTRA,SOLAR,2016,385.756
ER,ODISHA,SMALL HYDRO,2008,32.3
ER,ODISHA,WIND,2008,3.2
ER,ODISHA,SMALL HYDRO,2009,44.3
ER,ODISHA,WIND,2009,3.2
ER,ODISHA,SMALL HYDRO,2010,64.3
ER,ODISHA,SMALL HYDRO,2011,64.3
ER,ODISHA,SMALL HYDRO,2012,64.3
ER,ODISHA,COGENERATION-BAGASSE,2012,20
ER,ODISHA,SOLAR,2012,13
ER,ODISHA,SMALL HYDRO,2013,64.3
ER,ODISHA,COGENERATION-BAGASSE,2013,20
ER,ODISHA,SOLAR,2013,13
ER,ODISHA,SMALL HYDRO,2014,64.63
ER,ODISHA,COGENERATION-BAGASSE,2014,20
ER,ODISHA,SOLAR,2014,30.5
ER,ODISHA,SMALL HYDRO,2017,64.625
ER,ODISHA,COGENERATION-BAGASSE,2017,50.4
ER,ODISHA,SOLAR,2017,79.42
ER,ODISHA,SMALL HYDRO,2018,64.63
ER,ODISHA,COGENERATION-BAGASSE,2018,50.4
ER,ODISHA,SOLAR,2018,79.57
ER,ODISHA,SMALL HYDRO,2019,64.625
ER,ODISHA,COGENERATION-BAGASSE,2019,50.4
ER,ODISHA,SOLAR,2019,394.73
ER,ODISHA,SMALL HYDRO,2020,64.625
ER,ODISHA,COGENERATION-BAGASSE,2020,59.22
ER,ODISHA,SOLAR,2020,397.84
ER,ODISHA,SMALL HYDRO,2015,64.625
ER,ODISHA,COGENERATION-BAGASSE,2015,50.4
ER,ODISHA,SOLAR,2015,31.76
ER,ODISHA,SMALL HYDRO,2016,64.625
ER,ODISHA,COGENERATION-BAGASSE,2016,50.4
ER,ODISHA,SOLAR,2016,66.92
SR,ANDHRA PRADESH,SMALL HYDRO,2008,180.83
SR,ANDHRA PRADESH,WIND,2008,122.5
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2008,334.25
SR,ANDHRA PRADESH,WASTE,2008,32
SR,ANDHRA PRADESH,SOLAR,2008,0.1
SR,ANDHRA PRADESH,SMALL HYDRO,2009,180.83
SR,ANDHRA PRADESH,WIND,2009,122.5
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2009,343.55
SR,ANDHRA PRADESH,WASTE,2009,35.25
SR,ANDHRA PRADESH,SOLAR,2009,0.1
SR,ANDHRA PRADESH,SMALL HYDRO,2010,186.83
SR,ANDHRA PRADESH,WIND,2010,136.1
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2010,363.25
SR,ANDHRA PRADESH,WASTE,2010,35.66
SR,ANDHRA PRADESH,SOLAR,2010,0.1
SR,ANDHRA PRADESH,SMALL HYDRO,2011,191.43
SR,ANDHRA PRADESH,WIND,2011,191.5
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2011,363.25
SR,ANDHRA PRADESH,WASTE,2011,43.16
SR,ANDHRA PRADESH,SOLAR,2011,2.1
SR,ANDHRA PRADESH,SMALL HYDRO,2012,217.83
SR,ANDHRA PRADESH,WIND,2012,245.55
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2012,363.25
SR,ANDHRA PRADESH,WASTE,2012,43.16
SR,ANDHRA PRADESH,SOLAR,2012,21.75
SR,ANDHRA PRADESH,SMALL HYDRO,2013,219.03
SR,ANDHRA PRADESH,WIND,2013,447.65
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2013,380.75
SR,ANDHRA PRADESH,WASTE,2013,43.16
SR,ANDHRA PRADESH,SOLAR,2013,23.35
SR,ANDHRA PRADESH,SMALL HYDRO,2014,221.03
SR,ANDHRA PRADESH,WIND,2014,746.2
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2014,380.75
SR,ANDHRA PRADESH,WASTE,2014,50.66
SR,ANDHRA PRADESH,SOLAR,2014,131.84
SR,ANDHRA PRADESH,SMALL HYDRO,2017,241.98
SR,ANDHRA PRADESH,WIND,2017,3618.85
SR,ANDHRA PRADESH,WASTE,2017,58.16
SR,ANDHRA PRADESH,COGENERATION-BAGASSE,2017,378.2
SR,ANDHRA PRADESH,SOLAR,2017,1867.23
SR,ANDHRA PRADESH,SMALL HYDRO,2018,162.11
SR,ANDHRA PRADESH,WIND,2018,3966.95
