UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
UTILITY,ANDHRA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2015,98.783,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,WIND,RENEWABLE,2015,1451.296,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2015,699.283,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,WASTE,RENEWABLE,2015,8.517,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2015,119.814,0
CAPTIVE,ANDHRA PRADESH,CAPTIVE,SOLAR,RENEWABLE,2015,5.17,0
CAPTIVE,ANDHRA PRADESH,CAPTIVE,WIND,RENEWABLE,2015,5.25,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2016,699.283,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2016,103.098,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2016,282.667,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,WASTE,RENEWABLE,2016,8.517,0
UTILITY,ANDHRA PRADESH,UTILITY-RE,WIND,RENEWABLE,2016,2013.041,0
CAPTIVE,ANDHRA PRADESH,CAPTIVE,SOLAR,RENEWABLE,2016,7.31,0
CAPTIVE,ANDHRA PRADESH,CAPTIVE,WIND,RENEWABLE,2016,2.63,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2017,356.948,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2017,52.623,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2017,1354.02,0
UTILITY,TELANGANA,UTILITY-RE,RENEWABLES,RENEWABLE,2017,40.478,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2017,211.93,0
CAPTIVE,TELANGANA,CAPTIVE,SOLAR,RENEWABLE,2017,6.096,0
CAPTIVE,TELANGANA,CAPTIVE,WIND,RENEWABLE,2017,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2018,289.5,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2018,51.27,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2018,4029.43,0
UTILITY,TELANGANA,UTILITY-RE,RENEWABLES,RENEWABLE,2018,82.43,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2018,195.29,0
CAPTIVE,TELANGANA,CAPTIVE,SOLAR,RENEWABLE,2018,5.54,0
CAPTIVE,TELANGANA,CAPTIVE,WIND,RENEWABLE,2018,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2019,318.444,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2019,51.173,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2019,6312.258,0
UTILITY,TELANGANA,UTILITY-RE,RENEWABLES,RENEWABLE,2019,89.285,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2019,274.826,0
CAPTIVE,TELANGANA,CAPTIVE,SOLAR,RENEWABLE,2019,42.005,0
CAPTIVE,TELANGANA,CAPTIVE,WIND,RENEWABLE,2019,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2020,226.529,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2020,46.286,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2020,6263.919,0
UTILITY,TELANGANA,UTILITY-RE,RENEWABLES,RENEWABLE,2020,19.252,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2020,238.246,0
CAPTIVE,TELANGANA,CAPTIVE,SOLAR,RENEWABLE,2020,71.475,0
CAPTIVE,TELANGANA,CAPTIVE,WIND,RENEWABLE,2020,1.278,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2008,0,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2008,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2008,0,0
UTILITY,TELANGANA,UTILITY-RE,WASTE,RENEWABLE,2008,0,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2008,0,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,0,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2009,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,0,0
UTILITY,TELANGANA,UTILITY-RE,WASTE,RENEWABLE,2009,0,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2009,0,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2010,0,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2010,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2010,0,0
UTILITY,TELANGANA,UTILITY-RE,WASTE,RENEWABLE,2010,0,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2010,0,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2011,0,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2011,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2011,0,0
UTILITY,TELANGANA,UTILITY-RE,WASTE,RENEWABLE,2011,0,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2011,0,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2012,0,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2012,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2012,0,0
UTILITY,TELANGANA,UTILITY-RE,WASTE,RENEWABLE,2012,0,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2012,0,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2013,0,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2013,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2013,0,0
UTILITY,TELANGANA,UTILITY-RE,WASTE,RENEWABLE,2013,0,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2013,0,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2014,0,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2014,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2014,0,0
UTILITY,TELANGANA,UTILITY-RE,WASTE,RENEWABLE,2014,0,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2014,0,0
CAPTIVE,TELANGANA,CAPTIVE,SOLAR,RENEWABLE,2014,0,0
CAPTIVE,TELANGANA,CAPTIVE,WIND,RENEWABLE,2014,0,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2015,0,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2015,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2015,0,0
UTILITY,TELANGANA,UTILITY-RE,WASTE,RENEWABLE,2015,0,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2015,48.566,0
CAPTIVE,TELANGANA,CAPTIVE,SOLAR,RENEWABLE,2015,3.86,0
CAPTIVE,TELANGANA,CAPTIVE,WIND,RENEWABLE,2015,0,0
UTILITY,TELANGANA,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2016,496.901,0
UTILITY,TELANGANA,UTILITY-RE,SMALL HYDRO,RENEWABLE,2016,48.693,0
UTILITY,TELANGANA,UTILITY-RE,SOLAR,RENEWABLE,2016,418.533,0
UTILITY,TELANGANA,UTILITY-RE,WASTE,RENEWABLE,2016,79.795,0
UTILITY,TELANGANA,UTILITY-RE,WIND,RENEWABLE,2016,0,0
CAPTIVE,TELANGANA,CAPTIVE,SOLAR,RENEWABLE,2016,4.35,0
CAPTIVE,TELANGANA,CAPTIVE,WIND,RENEWABLE,2016,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2017,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2017,35.783,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2017,0,0
UTILITY,SIKKIM,UTILITY-RE,RENEWABLES,RENEWABLE,2017,0,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2017,0,0
CAPTIVE,SIKKIM,CAPTIVE,SOLAR,RENEWABLE,2017,0,0
CAPTIVE,SIKKIM,CAPTIVE,WIND,RENEWABLE,2017,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2018,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2018,30.54,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2018,0,0
UTILITY,SIKKIM,UTILITY-RE,RENEWABLES,RENEWABLE,2018,0,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2018,0,0
CAPTIVE,SIKKIM,CAPTIVE,SOLAR,RENEWABLE,2018,0,0
CAPTIVE,SIKKIM,CAPTIVE,WIND,RENEWABLE,2018,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2019,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2019,28.107,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2019,0,0
UTILITY,SIKKIM,UTILITY-RE,RENEWABLES,RENEWABLE,2019,0,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2019,0,0
CAPTIVE,SIKKIM,CAPTIVE,SOLAR,RENEWABLE,2019,0,0
CAPTIVE,SIKKIM,CAPTIVE,WIND,RENEWABLE,2019,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2020,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2020,60.619,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2020,0,0
UTILITY,SIKKIM,UTILITY-RE,RENEWABLES,RENEWABLE,2020,0,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2020,0,0
CAPTIVE,SIKKIM,CAPTIVE,SOLAR,RENEWABLE,2020,0,0
CAPTIVE,SIKKIM,CAPTIVE,WIND,RENEWABLE,2020,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2008,31.466,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2008,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2008,0,0
UTILITY,SIKKIM,UTILITY-RE,WASTE,RENEWABLE,2008,0,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2008,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,37.903,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2009,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,0,0
UTILITY,SIKKIM,UTILITY-RE,WASTE,RENEWABLE,2009,0,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2009,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2010,37.903,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2010,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2010,0,0
UTILITY,SIKKIM,UTILITY-RE,WASTE,RENEWABLE,2010,0,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2010,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2011,41.926,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2011,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2011,0,0
UTILITY,SIKKIM,UTILITY-RE,WASTE,RENEWABLE,2011,0,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2011,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2012,41.926,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2012,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2012,0,0
UTILITY,SIKKIM,UTILITY-RE,WASTE,RENEWABLE,2012,0,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2012,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2013,41.926,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2013,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2013,0,0
UTILITY,SIKKIM,UTILITY-RE,WASTE,RENEWABLE,2013,0,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2013,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2014,41.926,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2014,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2014,0,0
UTILITY,SIKKIM,UTILITY-RE,WASTE,RENEWABLE,2014,0,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2014,0,0
CAPTIVE,SIKKIM,CAPTIVE,SOLAR,RENEWABLE,2014,0,0
CAPTIVE,SIKKIM,CAPTIVE,WIND,RENEWABLE,2014,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2015,41.926,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2015,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2015,0,0
UTILITY,SIKKIM,UTILITY-RE,WASTE,RENEWABLE,2015,0,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2015,0,0
CAPTIVE,SIKKIM,CAPTIVE,SOLAR,RENEWABLE,2015,0,0
CAPTIVE,SIKKIM,CAPTIVE,WIND,RENEWABLE,2015,0,0
UTILITY,SIKKIM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2016,0,0
UTILITY,SIKKIM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2016,41.926,0
UTILITY,SIKKIM,UTILITY-RE,SOLAR,RENEWABLE,2016,0,0
UTILITY,SIKKIM,UTILITY-RE,WASTE,RENEWABLE,2016,0,0
UTILITY,SIKKIM,UTILITY-RE,WIND,RENEWABLE,2016,0,0
CAPTIVE,SIKKIM,CAPTIVE,SOLAR,RENEWABLE,2016,0,0
CAPTIVE,SIKKIM,CAPTIVE,WIND,RENEWABLE,2016,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2017,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2017,11.467,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2017,2.69,0
UTILITY,ASSAM,UTILITY-RE,RENEWABLES,RENEWABLE,2017,0,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2017,0,0
CAPTIVE,ASSAM,CAPTIVE,SOLAR,RENEWABLE,2017,0,0
CAPTIVE,ASSAM,CAPTIVE,WIND,RENEWABLE,2017,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2018,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2018,16.13,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2018,8.36,0
UTILITY,ASSAM,UTILITY-RE,RENEWABLES,RENEWABLE,2018,0,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2018,0,0
CAPTIVE,ASSAM,CAPTIVE,SOLAR,RENEWABLE,2018,0,0
CAPTIVE,ASSAM,CAPTIVE,WIND,RENEWABLE,2018,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2019,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2019,14.062,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2019,6.668,0
UTILITY,ASSAM,UTILITY-RE,RENEWABLES,RENEWABLE,2019,0,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2019,0,0
CAPTIVE,ASSAM,CAPTIVE,SOLAR,RENEWABLE,2019,1.42,0
CAPTIVE,ASSAM,CAPTIVE,WIND,RENEWABLE,2019,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2020,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2020,52.624,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2020,6.136,0
UTILITY,ASSAM,UTILITY-RE,RENEWABLES,RENEWABLE,2020,0,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2020,0,0
CAPTIVE,ASSAM,CAPTIVE,SOLAR,RENEWABLE,2020,3.409,0
CAPTIVE,ASSAM,CAPTIVE,WIND,RENEWABLE,2020,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2008,47.165,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2008,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2008,0,0
UTILITY,ASSAM,UTILITY-RE,WASTE,RENEWABLE,2008,0,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2008,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,47.165,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2009,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,0,0
UTILITY,ASSAM,UTILITY-RE,WASTE,RENEWABLE,2009,0,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2009,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2010,47.165,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2010,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2010,0,0
UTILITY,ASSAM,UTILITY-RE,WASTE,RENEWABLE,2010,0,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2010,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2011,47.165,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2011,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2011,0,0
UTILITY,ASSAM,UTILITY-RE,WASTE,RENEWABLE,2011,0,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2011,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2012,54.124,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2012,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2012,0,0
UTILITY,ASSAM,UTILITY-RE,WASTE,RENEWABLE,2012,0,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2012,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2013,54.124,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2013,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2013,0,0
UTILITY,ASSAM,UTILITY-RE,WASTE,RENEWABLE,2013,0,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2013,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2014,59.343,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2014,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2014,0,0
UTILITY,ASSAM,UTILITY-RE,WASTE,RENEWABLE,2014,0,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2014,0,0
CAPTIVE,ASSAM,CAPTIVE,SOLAR,RENEWABLE,2014,0,0
CAPTIVE,ASSAM,CAPTIVE,WIND,RENEWABLE,2014,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2015,59.343,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2015,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2015,0,0
UTILITY,ASSAM,UTILITY-RE,WASTE,RENEWABLE,2015,0,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2015,0,0
CAPTIVE,ASSAM,CAPTIVE,SOLAR,RENEWABLE,2015,0,0
CAPTIVE,ASSAM,CAPTIVE,WIND,RENEWABLE,2015,0,0
UTILITY,ASSAM,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2016,0,0
UTILITY,ASSAM,UTILITY-RE,SMALL HYDRO,RENEWABLE,2016,59.343,0
UTILITY,ASSAM,UTILITY-RE,SOLAR,RENEWABLE,2016,31.601,0
UTILITY,ASSAM,UTILITY-RE,WASTE,RENEWABLE,2016,0,0
UTILITY,ASSAM,UTILITY-RE,WIND,RENEWABLE,2016,0,0
CAPTIVE,ASSAM,CAPTIVE,SOLAR,RENEWABLE,2016,0,0
CAPTIVE,ASSAM,CAPTIVE,WIND,RENEWABLE,2016,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2017,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2017,27.29,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2017,0.14,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,RENEWABLES,RENEWABLE,2017,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WIND,RENEWABLE,2017,0,0
CAPTIVE,ARUNACHAL PRADESH,CAPTIVE,SOLAR,RENEWABLE,2017,0,0
CAPTIVE,ARUNACHAL PRADESH,CAPTIVE,WIND,RENEWABLE,2017,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2018,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2018,0.47,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2018,0.23,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,RENEWABLES,RENEWABLE,2018,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WIND,RENEWABLE,2018,0,0
CAPTIVE,ARUNACHAL PRADESH,CAPTIVE,SOLAR,RENEWABLE,2018,0,0
CAPTIVE,ARUNACHAL PRADESH,CAPTIVE,WIND,RENEWABLE,2018,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2019,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2019,0.549,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2019,1.201,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,RENEWABLES,RENEWABLE,2019,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WIND,RENEWABLE,2019,0,0
CAPTIVE,ARUNACHAL PRADESH,CAPTIVE,SOLAR,RENEWABLE,2019,0,0
CAPTIVE,ARUNACHAL PRADESH,CAPTIVE,WIND,RENEWABLE,2019,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2020,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2020,0.636,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2020,1.598,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,RENEWABLES,RENEWABLE,2020,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WIND,RENEWABLE,2020,0,0
CAPTIVE,ARUNACHAL PRADESH,CAPTIVE,SOLAR,RENEWABLE,2020,0,0
CAPTIVE,ARUNACHAL PRADESH,CAPTIVE,WIND,RENEWABLE,2020,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2008,7.881,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WIND,RENEWABLE,2008,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2008,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WASTE,RENEWABLE,2008,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2008,0.016,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2009,10.682,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WIND,RENEWABLE,2009,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2009,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WASTE,RENEWABLE,2009,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2009,0.016,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2010,12.789,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WIND,RENEWABLE,2010,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2010,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WASTE,RENEWABLE,2010,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2010,0.024,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2011,13.734,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WIND,RENEWABLE,2011,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2011,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,WASTE,RENEWABLE,2011,0,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SOLAR,RENEWABLE,2011,0.024,0
UTILITY,ARUNACHAL PRADESH,UTILITY-RE,SMALL HYDRO,RENEWABLE,2012,13.801,0
