UtilityCaptive,State,Sector,EnergySource,EnergySourceType,YearValue,Generation_GWh,PLF_Percent
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2009,0,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2009,0.04,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2010,157.413,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2010,5.31,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2010,888.8,0
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2010,0,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2010,0.929,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2011,157.413,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2011,5.31,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2011,888.8,0
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2011,0,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2011,0.929,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2012,157.413,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2012,5.31,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2012,888.8,0
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2012,0,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2012,1.656,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2013,157.413,0
UTILITY,WEST BENGAL,UTILITY-RE,WIND,RENEWABLE,2013,0,0
UTILITY,WEST BENGAL,UTILITY-RE,BIOMASS-BAGASSE,RENEWABLE,2013,1444.3,0
UTILITY,WEST BENGAL,UTILITY-RE,WASTE,RENEWABLE,2013,0,0
UTILITY,WEST BENGAL,UTILITY-RE,SOLAR,RENEWABLE,2013,1.656,0
UTILITY,WEST BENGAL,UTILITY-RE,SMALL HYDRO,RENEWABLE,2014,157.413,0
